Unnamed: 0,Unnamed: 0.1,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e10,E11B19001e11,E11B19001e12,E11B19001e13,E11B19001e14,E11B19001e15,E11B19001e16,E11B19001e17,E11B19001e2,E11B19001e3,E11B19001e4,E11B19001e5,E11B19001e6,E11B19001e7,E11B19001e8,E11B19001e9,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,S01B11001e1,S02B09019e2,S07B15003e15,S07B15003e16,S07B15003e17,S07B15003e18,S07B15003e19,S07B15003e20,S07B15003e21,S07B15003e22,S07B15003e23,S07B15003e24,S07B15003e25,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,Voter_Turnout
10,10,337366,0,2,59,457,0,26,8,88,116,0,14,65,10,28,0,23,18,34,8,19,93480.0,51474900,62,66,100188.0,52029.0,51163.0,56094.0,298,S,60590632012,15000US060590632012,33.6508524,-117.9035781,G5030,Block Group 2,964,6,488130.01953125,2995.99423426878,63201,221,236,221,137,0,0,0,137,84,188825000.0,127150000.0,61675000.0,1192,0,29,88,7,81,78,30,39,11,14,609,8,8,0,10,0,0,583,0,0,0,27,26,50,65,60,81,22,37,0,0,0,10,9,0,1,27,9,16,9,34.8,,,58.7,,32.0,10.6,33.8,46.1,35.2,34.0,37.1,1192,1003,18,0,24,0,86,61,1192,457,1174,0,23,202,0,26,153,98,149,90,7,30,852,22,17,1157,1118,39,83.5
11,11,132398,0,1,59,328,15,58,0,4,76,12,45,10,0,9,0,10,49,27,0,13,57976.0,26477300,64,18,107386.0,50182.0,49417.0,50365.0,173,S,60590632021,15000US060590632021,33.6468334,-117.9108849,G5030,Block Group 1,965,6,191546.61328125,2012.43491449782,63202,116,212,116,76,20,0,0,56,40,68085000.0,58500000.0,9585000.0,834,0,14,108,14,53,51,0,9,10,10,286,0,0,8,9,0,0,548,0,0,0,25,105,24,34,36,10,11,10,8,8,0,21,16,0,0,11,0,0,0,32.0,,,29.1,,29.0,,41.1,25.6,31.0,40.1,25.6,834,597,0,0,44,0,179,14,834,328,834,0,9,103,9,55,69,20,98,65,46,20,605,26,19,815,532,283,81.7
12,12,331171,0,2,59,392,0,17,33,100,8,44,48,75,0,8,0,12,9,21,9,8,92356.0,69323200,84,30,134792.0,55046.0,80649.0,50761.0,219,S,60590632022,15000US060590632022,33.6424291,-117.9118259,G5030,Block Group 2,966,6,479076.22265625,2947.49050366808,63202,210,182,210,160,0,8,0,152,50,171290000.0,132350000.0,38940000.0,934,21,22,34,41,21,102,79,25,0,9,537,27,17,26,15,11,0,397,0,0,7,7,44,33,23,37,25,66,29,20,9,0,17,7,14,19,0,8,0,0,48.0,,,17.4,,,50.1,48.5,35.2,48.0,48.1,45.9,934,783,0,0,27,0,12,112,934,392,930,0,0,167,0,65,204,32,197,97,0,0,815,68,54,876,816,60,87.0
13,13,324028,0,3,59,342,0,0,7,26,38,18,37,150,0,28,22,0,0,8,8,0,158125.0,65424800,45,21,157563.0,61809.0,92566.0,60395.0,247,S,60590632023,15000US060590632023,33.6377321,-117.9050905,G5030,Block Group 3,967,6,468693.77734375,2903.5831534610197,63202,283,59,283,181,0,36,0,145,102,385130000.0,203780000.0,181350000.0,980,0,25,52,20,47,15,51,70,12,0,478,18,7,8,0,16,6,502,6,10,0,11,107,27,17,64,42,39,28,0,7,7,0,0,15,7,0,10,13,10,37.0,,,,,,17.8,37.0,,36.6,41.4,30.3,980,900,0,0,19,10,0,51,980,342,968,0,0,32,0,48,123,47,335,97,15,10,757,29,0,968,968,0,86.8
14,14,203597,0,4,59,392,0,31,0,37,47,41,78,68,0,26,33,0,0,24,7,0,124135.0,55471700,98,22,127308.0,39324.0,48661.0,31364.0,222,S,60590632024,15000US060590632024,33.644219799999995,-117.9079689,G5030,Block Group 4,968,6,294537.91015625,2420.80879078101,63202,167,225,167,112,0,0,0,112,55,159914000.0,106200000.0,53714000.0,1019,58,143,62,56,41,13,45,53,26,0,592,0,9,15,14,13,0,427,0,0,0,29,49,19,25,6,43,9,33,8,0,7,6,6,26,14,47,0,10,0,33.7,,,59.1,,,,34.0,36.6,36.1,33.5,39.7,1019,848,26,0,63,0,62,20,1019,392,1008,0,13,87,9,95,62,67,277,49,17,0,885,15,50,958,948,10,81.7
15,15,330599,0,1,59,562,29,84,64,49,41,63,83,33,34,0,17,30,21,0,14,0,73235.0,52186300,54,11,70568.0,53690.0,54132.0,53569.0,163,S,60590633011,15000US060590633011,33.63937120000001,-117.91762140000002,G5030,Block Group 1,969,6,478214.859375,2896.0562952930395,63301,65,497,65,47,0,38,0,9,18,,,,1000,12,166,85,33,27,0,19,22,0,11,433,7,0,9,0,0,0,567,0,0,25,0,248,57,77,0,30,0,22,0,21,6,29,0,0,9,7,0,6,0,29.9,,,,,,,29.8,31.5,29.8,30.0,29.7,1000,897,14,0,13,0,43,33,1000,562,988,0,0,44,0,48,227,52,419,74,11,10,928,59,45,943,904,39,83.7
16,16,324236,0,2,59,484,25,11,33,58,55,32,29,104,12,7,53,17,0,29,0,19,93235.0,55226200,88,49,137578.0,75536.0,77159.0,61111.0,286,S,60590633012,15000US060590633012,33.6370234,-117.9142547,G5030,Block Group 2,970,6,468984.76953125,2905.83141063024,63301,150,334,150,96,0,11,0,85,54,143695000.0,103745000.0,39950000.0,1179,0,43,45,71,52,23,53,15,0,24,463,26,0,9,7,7,0,716,3,0,0,15,81,86,53,21,89,11,8,12,26,0,25,11,8,35,0,0,0,0,34.7,,,43.4,,,,34.8,15.6,34.9,38.5,32.3,1179,1093,9,12,35,0,11,19,1179,484,1094,0,9,59,0,52,101,65,368,81,51,0,859,48,15,1079,1027,44,83.7
17,17,380971,0,3,59,542,10,41,39,64,57,89,41,120,35,13,0,0,0,8,6,19,118500.0,91404700,55,30,135236.0,51299.0,68971.0,30137.0,385,S,60590633023,15000US060590633023,33.629290000000005,-117.9201115,G5030,Block Group 3,971,6,550948.453125,3281.49320609435,63302,234,308,234,162,8,43,0,111,72,243632000.0,172672000.0,70960000.0,1470,30,54,37,58,86,112,95,12,50,15,762,25,8,9,9,0,0,708,0,0,27,0,0,44,82,16,66,127,10,64,0,19,0,0,0,24,13,0,0,0,43.4,,,51.3,,,30.1,43.1,43.7,41.8,43.5,39.7,1470,1234,0,0,142,0,0,94,1470,542,1421,13,23,90,26,12,88,67,523,174,9,0,1092,85,0,1421,1421,0,76.7
18,18,323917,0,4,59,392,0,52,18,0,37,103,44,74,19,0,0,0,0,22,0,23,130000.0,50756200,43,19,140208.0,,69886.0,33382.0,280,S,60590633024,15000US060590633024,33.6293578,-117.9134124,G5030,Block Group 4,972,6,468439.7578125,2903.3030041559996,63302,305,87,305,250,0,73,0,177,55,292824000.0,252560000.0,40264000.0,1175,15,0,53,69,8,56,12,30,19,20,613,11,0,20,11,2,0,562,46,0,14,33,40,71,50,8,53,73,32,30,0,0,0,10,0,12,4,33,0,65,32.6,,,,,,,32.6,25.0,32.9,32.3,34.5,1175,1151,0,0,15,0,0,9,1175,392,1154,0,9,43,15,42,131,57,247,75,34,0,900,31,20,1134,1125,9,90.0
19,19,323506,0,4,59,715,29,15,73,84,164,16,26,121,110,0,0,0,0,0,58,19,92917.0,74705500,233,65,104734.0,32794.0,32433.0,40250.0,390,S,60590631024,15000US060590631024,33.6542429,-117.8915047,G5030,Block Group 4,1074,6,468116.16015625,2927.43003187623,63102,404,311,404,336,44,63,0,229,68,315345000.0,250735000.0,64610000.0,1647,23,102,110,41,62,29,14,116,31,22,855,0,33,73,7,0,0,792,13,26,15,0,173,12,106,0,0,41,73,48,66,14,13,74,22,16,0,13,25,0,39.8,,,29.0,,,36.4,45.6,32.7,36.5,38.0,36.5,1647,1342,0,0,104,0,0,201,1647,715,1647,15,14,1,28,19,323,205,384,170,109,30,1413,154,2,1645,1645,0,84.3
