,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e10,E11B19001e11,E11B19001e12,E11B19001e13,E11B19001e14,E11B19001e15,E11B19001e16,E11B19001e17,E11B19001e2,E11B19001e3,E11B19001e4,E11B19001e5,E11B19001e6,E11B19001e7,E11B19001e8,E11B19001e9,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
20,488673,0,2,059,412,20,59,21,16,77,47,10,106,8,8,0,13,10,0,17,0,112237.0,79036300,78,38,116053.0,58114.0,64833.0,50714.0,176,S,060590636012,15000US060590636012,+33.6475670,-117.9348143,G5030,Block Group 2,1215,06,707002.64453125,4618.91120720915,063601
21,160457,0,3,059,315,0,21,8,36,64,48,70,40,10,0,0,0,0,18,0,0,127656.0,59041700,38,38,153700.0,64028.0,59750.0,64554.0,176,S,060590636013,15000US060590636013,+33.6455814,-117.9434765,G5030,Block Group 3,1216,06,232134.95703125,1972.1569290477,063601
22,485775,0,1,059,482,0,9,110,12,22,21,13,28,47,8,47,30,31,19,30,55,41318.0,33529800,127,25,40053.0,22987.0,23929.0,21358.0,348,S,060590636041,15000US060590636041,+33.6379091,-117.9340825,G5030,Block Group 1,1220,06,702654.6953125,3875.97794923857,063604
23,715930,0,2,059,1055,31,88,212,155,111,67,78,21,34,22,69,56,0,62,23,26,66793.0,80623200,313,144,70670.0,40171.0,42365.0,32146.0,513,S,060590636042,15000US060590636042,+33.6386121,-117.9396628,G5030,Block Group 2,1221,06,1035578.00390625,4264.05311608819,063604
24,161956,0,1,059,380,0,60,36,38,40,0,21,8,23,0,28,23,0,73,17,13,55878.0,22786400,34,8,34277.0,21339.0,22027.0,16309.0,267,S,060590636051,15000US060590636051,+33.6415735,-117.9297892,G5030,Block Group 1,1222,06,234282.6875,1935.89662239452,063605
25,549540,0,2,059,577,11,16,28,61,36,55,43,59,55,0,6,73,61,53,20,0,58194.0,46735100,67,24,33292.0,30448.0,,20298.0,377,S,060590636052,15000US060590636052,+33.6375103,-117.9252311,G5030,Block Group 2,1223,06,794877.5078125,4493.65466100866,063605
26,323943,0,3,059,463,43,50,31,53,30,0,5,33,7,10,31,55,42,19,27,27,48109.0,30515200,23,32,47539.0,20726.0,23556.0,12107.0,427,S,060590636053,15000US060590636053,+33.6361313,-117.9297228,G5030,Block Group 3,1224,06,468550.32421875,2906.18393881515,063605
27,217142,0,1,059,291,0,7,9,67,5,0,7,21,13,76,44,12,23,0,0,7,27554.0,16589500,164,44,85326.0,22083.0,25042.0,,134,S,060590637011,15000US060590637011,+33.6470647,-117.9262440,G5030,Block Group 1,1225,06,314152.71875,2594.81223789517,063701
28,161131,0,3,059,460,7,22,11,113,9,29,16,16,34,96,7,0,23,25,0,52,44573.0,29178100,38,7,43043.0,25148.0,25739.0,19095.0,284,S,060590637013,15000US060590637013,+33.6516163,-117.9234155,G5030,Block Group 3,1226,06,233141.90625,2417.41164755492,063701
29,241164,0,4,059,460,24,113,19,64,67,0,36,0,13,0,12,26,0,42,28,16,53821.0,31101700,59,33,54481.0,24974.0,27335.0,22860.0,404,S,060590637014,15000US060590637014,+33.6497308,-117.9299022,G5030,Block Group 4,1227,06,348927.734375,2418.15694901507,063701
30,367145,0,1,059,423,41,47,46,45,18,12,65,35,23,12,18,0,12,16,33,0,64327.0,37194500,23,12,79565.0,34240.0,51667.0,,234,S,060590637021,15000US060590637021,+33.6507555,-117.9142435,G5030,Block Group 1,1228,06,531216.77734375,3206.04848558277,063702
31,303512,0,3,059,416,0,51,32,15,28,7,31,79,25,12,21,0,48,56,0,11,59216.0,37146000,64,34,,50417.0,58529.0,41250.0,216,S,060590637023,15000US060590637023,+33.6461280,-117.9166525,G5030,Block Group 3,1229,06,439101.39453125,3021.46596102601,063702
32,216099,0,4,059,510,0,62,108,36,19,39,25,44,10,0,12,29,45,36,11,34,61290.0,39623800,108,21,61129.0,22787.0,25542.0,22330.0,414,S,060590637024,15000US060590637024,+33.6470785,-117.9233509,G5030,Block Group 4,1230,06,312644.35546875,2587.5525635441,063702
33,581047,0,1,059,571,43,18,29,55,38,73,78,58,17,8,0,28,0,30,73,23,76587.0,61430100,178,97,60132.0,39679.0,39607.0,40054.0,418,S,060590638021,15000US060590638021,+33.6769860,-117.9233225,G5030,Block Group 1,1231,06,841216.1171875,3553.98587510465,063802
34,646174,0,2,059,458,9,0,25,57,58,49,99,99,0,8,0,0,9,19,10,16,126452.0,86452300,280,138,126290.0,66250.0,72647.0,42308.0,346,S,060590638022,15000US060590638022,+33.6758714,-117.9312877,G5030,Block Group 2,1232,06,935478.578125,3845.54634370662,063802
35,423643,0,1,059,319,8,24,19,29,50,5,46,76,9,19,0,0,0,0,8,26,108542.0,47252600,120,61,129250.0,54926.0,64886.0,53382.0,247,S,060590638031,15000US060590638031,+33.6702081,-117.9412986,G5030,Block Group 1,1233,06,613233.4921875,3804.199778877,063803
36,1651865,0,2,059,449,31,46,0,58,69,37,87,55,38,0,0,9,11,0,0,8,104850.0,50729600,75,60,112500.0,64153.0,75547.0,43824.0,180,S,060590638032,15000US060590638032,+33.6603343,-117.9429536,G5030,Block Group 2,1234,06,2390575.25,7871.43993996206,063803
37,197192,0,3,059,476,9,28,64,70,104,10,78,24,9,0,24,21,0,9,18,8,89551.0,46568300,35,87,111458.0,35365.0,21650.0,50643.0,245,S,060590638033,15000US060590638033,+33.6539211,-117.9430753,G5030,Block Group 3,1235,06,285333.76953125,2370.80714975405,063803
38,400260,0,4,059,432,0,46,18,25,85,0,54,76,26,32,0,9,16,7,0,38,92143.0,46870800,147,93,102111.0,33224.0,28750.0,50417.0,326,S,060590638034,15000US060590638034,+33.6549214,-117.9360639,G5030,Block Group 4,1236,06,579187.3203125,3171.83226423339,063803
39,590016,0,1,059,429,18,14,22,69,104,37,51,48,5,0,29,0,18,0,9,5,106607.0,48452300,131,66,103654.0,49688.0,54922.0,38393.0,300,S,060590638051,15000US060590638051,+33.6912075,-117.9295010,G5030,Block Group 1,1237,06,854466.94921875,6411.06866659246,063805
40,416469,0,2,059,456,5,24,50,37,0,31,76,118,18,15,41,8,5,14,14,0,91250.0,67187100,162,74,152868.0,73447.0,84792.0,62794.0,347,S,060590638052,15000US060590638052,+33.6889462,-117.9317405,G5030,Block Group 2,1264,06,603114.36328125,3471.86699926538,063805
41,387616,0,1,059,453,0,44,35,63,10,53,17,49,14,30,0,10,30,9,32,57,60125.0,41575900,65,48,74432.0,31404.0,30402.0,32162.0,259,S,060590638061,15000US060590638061,+33.6840318,-117.9224677,G5030,Block Group 1,1265,06,561266.12109375,3255.38419903394,063806
42,441058,0,2,059,399,8,28,9,42,34,59,97,70,0,0,18,0,0,7,10,17,142740.0,57057800,116,49,142933.0,68214.0,71667.0,63833.0,297,S,060590638062,15000US060590638062,+33.6832195,-117.9282505,G5030,Block Group 2,1266,06,638638.30078125,3971.76303265809,063806
43,1365937,0,3,059,556,9,8,60,71,59,43,41,192,8,6,0,0,18,10,12,19,124500.0,113727000,270,157,155000.0,62500.0,94306.0,,420,S,060590638063,15000US060590638063,+33.6799479,-117.9379014,G5030,Block Group 3,1267,06,1977681.91796875,6589.63398157803,063806
44,1923760,0,2,059,857,0,68,90,64,70,16,17,57,95,44,72,75,7,58,60,64,41094.0,54580600,217,118,52125.0,23764.0,16023.0,40234.0,519,S,060590638072,15000US060590638072,+33.6637062,-117.9280572,G5030,Block Group 2,1268,06,2784290.09765625,6803.60986512647,063807
45,1142855,0,1,059,1873,14,94,192,381,224,194,310,183,120,12,30,0,13,13,68,25,95945.0,206421900,105,66,101887.0,63014.0,70824.0,57922.0,688,S,060590639071,15000US060590639071,+33.6908193,-117.8774200,G5030,Block Group 1,1269,06,1655099.4140625,5479.3759120256,063907
