,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEOID_Data,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
34,646174,0,2,059,S,060590638022,15000US060590638022,442,16,442,299,0,45,11,243,143,384473900.0,284366700.0,100107200.0,+33.6758714,-117.9312877,G5030,Block Group 2,1232,06,935478.578125,3845.54634370662,063802
35,423643,0,1,059,S,060590638031,15000US060590638031,310,9,310,247,0,66,0,181,63,326520000.0,205420000.0,121100000.0,+33.6702081,-117.9412986,G5030,Block Group 1,1233,06,613233.4921875,3804.199778877,063803
36,1651865,0,2,059,S,060590638032,15000US060590638032,204,245,204,188,17,11,0,160,16,,,,+33.6603343,-117.9429536,G5030,Block Group 2,1234,06,2390575.25,7871.43993996206,063803
37,197192,0,3,059,S,060590638033,15000US060590638033,150,326,150,124,0,27,0,97,26,70783000.0,57583000.0,13200000.0,+33.6539211,-117.9430753,G5030,Block Group 3,1235,06,285333.76953125,2370.80714975405,063803
38,400260,0,4,059,S,060590638034,15000US060590638034,275,157,275,221,0,29,20,172,54,183871900.0,157464000.0,26407900.0,+33.6549214,-117.9360639,G5030,Block Group 4,1236,06,579187.3203125,3171.83226423339,063803
39,590016,0,1,059,S,060590638051,15000US060590638051,307,122,307,260,13,30,0,217,47,179242000.0,155892000.0,23350000.0,+33.6912075,-117.9295010,G5030,Block Group 1,1237,06,854466.94921875,6411.06866659246,063805
40,416469,0,2,059,S,060590638052,15000US060590638052,368,88,368,247,5,61,5,176,121,259600000.0,181950000.0,77650000.0,+33.6889462,-117.9317405,G5030,Block Group 2,1264,06,603114.36328125,3471.86699926538,063805
41,387616,0,1,059,S,060590638061,15000US060590638061,63,390,63,46,0,8,9,29,17,,,,+33.6840318,-117.9224677,G5030,Block Group 1,1265,06,561266.12109375,3255.38419903394,063806
42,441058,0,2,059,S,060590638062,15000US060590638062,373,26,373,279,0,20,0,259,94,285435000.0,219720000.0,65715000.0,+33.6832195,-117.9282505,G5030,Block Group 2,1266,06,638638.30078125,3971.76303265809,063806
43,1365937,0,3,059,S,060590638063,15000US060590638063,484,72,484,319,0,81,0,238,165,553669000.0,377499000.0,176170000.0,+33.6799479,-117.9379014,G5030,Block Group 3,1267,06,1977681.91796875,6589.63398157803,063806
44,1923760,0,2,059,S,060590638072,15000US060590638072,40,817,40,6,0,0,0,6,34,,,,+33.6637062,-117.9280572,G5030,Block Group 2,1268,06,2784290.09765625,6803.60986512647,063807
45,1142855,0,1,059,S,060590639071,15000US060590639071,13,1860,13,13,0,0,0,13,0,,,,+33.6908193,-117.8774200,G5030,Block Group 1,1269,06,1655099.4140625,5479.3759120256,063907
46,541192,0,1,059,S,060590639081,15000US060590639081,320,44,320,202,0,0,0,202,118,214720000.0,135520000.0,79200000.0,+33.6850731,-117.8910791,G5030,Block Group 1,1270,06,783660.58203125,4007.83637148704,063908
47,560674,0,2,059,S,060590639082,15000US060590639082,328,376,328,301,6,0,0,295,27,194415000.0,175065000.0,19350000.0,+33.6849637,-117.8799871,G5030,Block Group 2,1271,06,811871.5078125,4017.30023068877,063908
48,3107345,0,2,059,S,060590639072,15000US060590639072,626,360,626,401,0,44,15,342,225,451242000.0,278555000.0,172687000.0,+33.6937673,-117.9159329,G5030,Block Group 2,1351,06,4500422.8203125,12677.4063692662,063907
49,1064491,0,3,059,S,060590639073,15000US060590639073,348,353,348,254,0,73,0,181,94,236758400.0,183350000.0,53408400.0,+33.6920135,-117.8933433,G5030,Block Group 3,1352,06,1541657.9375,6156.56655127883,063907
50,316364,0,3,059,S,060590639083,15000US060590639083,64,486,64,64,0,0,0,64,0,24350000.0,24350000.0,,+33.6801072,-117.8888648,G5030,Block Group 3,1385,06,458049.66015625,2859.03757619801,063908
51,1821129,0,1,059,S,060590639041,15000US060590639041,317,92,317,233,0,45,0,188,84,216445000.0,163745000.0,52700000.0,+33.6701267,-117.9008298,G5030,Block Group 1,1402,06,2636137.046875,7445.25810494394,063904
52,11291839,145012,2,059,S,060590626102,15000US060590626102,575,3971,575,443,0,18,0,425,132,307260000.0,246410000.0,60850000.0,+33.6691905,-117.8609131,G5030,Block Group 2,1505,06,16554744.4882813,17219.065752314,062610
53,83621,0,3,059,S,060590639043,15000US060590639043,0,317,0,0,0,0,0,0,0,,,,+33.6768292,-117.8989761,G5030,Block Group 3,1511,06,121063.14453125,1482.85519600455,063904
54,270750,0,3,059,S,060590633013,15000US060590633013,107,260,107,96,9,0,0,87,11,,,,+33.6337099,-117.9194814,G5030,Block Group 3,1532,06,391590.75,2647.342789031,063301
55,163251,0,2,059,S,060590637012,15000US060590637012,28,348,28,18,0,0,0,18,10,,,,+33.6452131,-117.9298430,G5030,Block Group 2,1563,06,236173.6484375,1946.41044298807,063701
56,216124,0,5,059,S,060590637025,15000US060590637025,46,275,46,21,0,0,0,21,25,,,,+33.6470989,-117.9204613,G5030,Block Group 5,1564,06,312682.125,2587.27061322222,063702
57,344982,0,2,059,S,060590631022,15000US060590631022,376,383,376,319,28,53,0,238,57,463660000.0,242360000.0,221300000.0,+33.6592712,-117.8953280,G5030,Block Group 2,1604,06,499245.81640625,3035.4136778238,063102
58,361410,0,1,059,S,060590626101,15000US060590626101,343,323,343,180,0,0,0,180,163,278856900.0,132605900.0,146251000.0,+33.6764170,-117.8488101,G5030,Block Group 1,1675,06,523228.921875,2970.08163520915,062610
59,1173861,9666,1,059,S,060590636011,15000US060590636011,526,140,526,331,10,50,10,261,195,388090000.0,251090000.0,137000000.0,+33.6484875,-117.9440313,G5030,Block Group 1,1722,06,1712314.1171875,7268.98940085411,063601
60,411152,0,1,059,S,060590638081,15000US060590638081,126,764,126,88,0,0,0,88,38,,,,+33.6567655,-117.9289293,G5030,Block Group 1,1723,06,594962.3203125,4350.21680313886,063808
61,324708,0,2,059,S,060590638082,15000US060590638082,318,346,318,196,0,13,0,183,122,152380000.0,109215000.0,43165000.0,+33.6543314,-117.9234419,G5030,Block Group 2,1724,06,469853.3671875,2912.03332017259,063808
62,946824,0,1,059,S,060590639021,15000US060590639021,559,118,559,515,0,60,10,445,44,,,,+33.6840828,-117.9138241,G5030,Block Group 1,1725,06,1370998.1796875,4821.01666278732,063902
63,203799,0,2,059,S,060590639022,15000US060590639022,14,748,14,14,0,14,0,0,0,,,,+33.6756026,-117.9169344,G5030,Block Group 2,1726,06,295042.26953125,2146.97082461495,063902
64,775763,0,1,059,S,060590639031,15000US060590639031,243,298,243,157,8,7,0,142,86,137515000.0,92590000.0,44925000.0,+33.6800462,-117.8996871,G5030,Block Group 1,1727,06,1123196.64453125,5493.87015927376,063903
65,604461,0,2,059,S,060590639032,15000US060590639032,459,89,459,359,16,40,0,303,100,328848000.0,265308000.0,63540000.0,+33.6848629,-117.9021898,G5030,Block Group 2,1728,06,875273.12890625,3991.99437531642,063903
66,580268,0,2,059,S,060590639042,15000US060590639042,420,141,420,336,6,34,0,296,84,282597000.0,220897000.0,61700000.0,+33.6748410,-117.8928079,G5030,Block Group 2,1729,06,840044.1953125,4231.02151719862,063904
67,513888,0,1,059,S,060590639051,15000US060590639051,366,166,366,296,0,88,0,208,70,253469000.0,205139000.0,48330000.0,+33.6655703,-117.9139178,G5030,Block Group 1,1730,06,743790.3671875,3783.59543925742,063905
68,295853,0,2,059,S,060590639052,15000US060590639052,54,484,54,54,0,0,0,54,0,34300000.0,34300000.0,,+33.6594019,-117.9171290,G5030,Block Group 2,1731,06,428150.640625,2969.17612508978,063905
69,325623,0,1,059,S,060590639061,15000US060590639061,300,590,300,266,20,35,0,211,34,,,,+33.6540480,-117.9132833,G5030,Block Group 1,1732,06,471176.0703125,4130.307669091,063906
70,111446,0,2,059,S,060590639062,15000US060590639062,162,326,162,9,0,0,0,9,153,,,,+33.6553294,-117.9132600,G5030,Block Group 2,1733,06,161266.4453125,1817.26177064177,063906
71,625083,0,3,059,S,060590639063,15000US060590639063,296,635,296,221,32,18,0,171,75,130352000.0,96657000.0,33695000.0,+33.6601360,-117.9041334,G5030,Block Group 3,1734,06,904613.71875,4487.18419549531,063906
72,835355,0,3,059,S,060590639023,15000US060590639023,0,474,0,0,0,0,0,0,0,,,,+33.6713146,-117.9129663,G5030,Block Group 3,1804,06,1209237.2265625,4531.54036539093,063902
73,426535,0,4,059,S,060590639024,15000US060590639024,20,612,20,20,0,20,0,0,0,,,,+33.6781853,-117.9129197,G5030,Block Group 4,1805,06,617534.546875,3772.65363544421,063902
74,548656,0,3,059,S,060590639053,15000US060590639053,414,199,414,327,10,53,0,264,87,298903000.0,226478000.0,72425000.0,+33.6600313,-117.9114501,G5030,Block Group 3,1807,06,794013.859375,3692.44528688203,063905
75,485396,0,4,059,S,060590639084,15000US060590639084,12,922,12,12,0,0,0,12,0,,,,+33.6788131,-117.8833480,G5030,Block Group 4,1813,06,702767.89453125,3831.79598082643,063908
