,ALAND,AWATER,BLKGRPCE,COUNTYFP,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
40,416469,0,2,059,1326,21,7,21,37,29,73,62,41,10,30,627,13,5,10,25,20,19,699,5,33,0,17,24,32,81,19,53,37,79,19,38,20,12,20,26,51,11,14,12,7,47.0,,,41.5,,40.6,7.2,48.4,35.3,45.4,42.5,46.7,1326,1066,0,0,84,0,136,40,1326,S,060590638052,15000US060590638052,+33.6889462,-117.9317405,G5030,Block Group 2,1264,06,603114.36328125,3471.86699926538,063805
41,387616,0,1,059,1385,48,17,53,138,20,108,31,32,0,23,660,0,0,0,18,0,0,725,0,22,0,0,101,49,61,78,33,22,10,0,66,0,0,0,20,10,0,0,0,0,34.2,8.8,,39.1,,35.9,6.5,34.9,31.1,34.2,36.2,26.6,1385,1024,100,0,45,12,119,85,1385,S,060590638061,15000US060590638061,+33.6840318,-117.9224677,G5030,Block Group 1,1265,06,561266.12109375,3255.38419903394,063806
42,441058,0,2,059,1182,9,13,52,59,70,58,72,24,11,18,679,0,9,0,0,20,26,503,10,0,0,10,11,32,43,28,80,47,50,12,9,0,10,10,9,31,18,65,0,19,43.4,,,45.0,,,21.2,44.3,37.3,42.1,35.9,46.3,1182,956,0,0,136,0,10,80,1182,S,060590638062,15000US060590638062,+33.6832195,-117.9282505,G5030,Block Group 2,1266,06,638638.30078125,3971.76303265809,063806
43,1365937,0,3,059,1364,0,38,13,22,55,14,98,43,0,7,717,39,28,56,11,39,45,647,0,0,0,0,64,13,36,56,19,90,8,13,37,34,33,19,48,31,47,13,0,0,51.7,,,46.5,,,13.5,52.8,43.5,51.3,50.4,53.1,1364,1216,0,0,52,0,21,75,1364,S,060590638063,15000US060590638063,+33.6799479,-117.9379014,G5030,Block Group 3,1267,06,1977681.91796875,6589.63398157803,063806
44,1923760,0,2,059,2204,56,124,80,11,80,44,73,63,20,46,1110,0,12,0,37,0,19,1094,0,0,17,55,157,34,42,86,72,33,52,86,15,36,0,29,6,28,60,65,80,0,27.4,54.1,,45.0,,,20.2,40.8,20.0,29.1,27.4,33.9,2204,1526,166,0,325,0,57,130,2204,S,060590638072,15000US060590638072,+33.6637062,-117.9280572,G5030,Block Group 2,1268,06,2784290.09765625,6803.60986512647,063807
45,1142855,0,1,059,3383,31,319,465,255,81,56,28,78,0,12,1583,0,25,80,0,0,0,1800,30,69,0,120,353,448,163,104,41,101,169,13,39,13,0,0,0,0,17,11,0,14,32.5,36.2,,31.5,33.7,30.1,31.7,32.5,29.9,32.3,33.0,32.2,3383,1680,310,0,1057,50,179,107,3383,S,060590639071,15000US060590639071,+33.6908193,-117.8774200,G5030,Block Group 1,1269,06,1655099.4140625,5479.3759120256,063907
46,541192,0,1,059,1330,39,0,69,38,74,24,59,34,13,0,651,0,11,21,24,10,0,679,1,0,14,10,26,72,25,53,41,11,56,23,0,0,37,53,21,28,18,44,33,23,38.5,,,34.1,,17.9,15.8,56.0,17.8,35.7,34.3,41.0,1330,744,0,12,400,0,66,108,1330,S,060590639081,15000US060590639081,+33.6850731,-117.8910791,G5030,Block Group 1,1270,06,783660.58203125,4007.83637148704,063908
47,560674,0,2,059,1622,0,63,39,80,36,59,152,31,22,0,744,22,19,77,6,46,0,878,0,21,59,13,59,50,50,26,96,128,122,42,8,0,1,26,44,0,16,28,0,19,49.3,49.5,,52.3,,34.5,,47.2,52.5,49.4,50.1,49.2,1622,857,177,0,465,0,91,32,1622,S,060590639082,15000US060590639082,+33.6849637,-117.8799871,G5030,Block Group 2,1271,06,811871.5078125,4017.30023068877,063908
48,3107345,0,2,059,2481,10,163,49,75,43,35,128,98,0,138,1105,54,54,42,14,13,38,1376,0,0,0,68,174,114,87,15,28,101,121,43,74,55,28,54,27,0,25,0,47,34,50.1,20.6,,34.1,52.7,,13.6,56.6,27.2,39.1,50.8,33.5,2481,1342,65,21,880,123,12,38,2481,S,060590639072,15000US060590639072,+33.6937673,-117.9159329,G5030,Block Group 2,1351,06,4500422.8203125,12677.4063692662,063907
49,1064491,0,3,059,2126,53,113,155,92,85,46,135,58,49,17,1136,33,0,0,75,0,0,990,75,0,0,0,128,158,43,26,36,122,63,33,0,14,58,0,0,63,41,0,19,19,34.7,19.0,,42.5,,27.2,,40.9,28.9,35.4,37.0,35.1,2126,1548,147,0,330,0,87,14,2126,S,060590639073,15000US060590639073,+33.6920135,-117.8933433,G5030,Block Group 3,1352,06,1541657.9375,6156.56655127883,063907
